Script Name,Path,Usage Count,Status,Used By
"AnimationEventForwarder","Assets/NinjaGame/Animation/AnimationEventForwarder.cs",5,"Used","HumanM_Model; StromaTestModel; HumanM_Model; StromaTestModel; StromaTestModel"
"ControllerBrain","Assets/NinjaGame/Core/Brain/ControllerBrain.cs",5,"Used","Component_Brain; Component_Brain; Component_Brain; Component_Brain; Component_Brain"
"BasicTargetable","Assets/NinjaGame/Camera/BasicTargetable.cs",4,"Used","TargetDummy; Enemy_Universal_; training_dummy; TargetDummy"
"CombatProviderCoordinator","Assets/NinjaGame/Core/Coordinators/CombatProviderCoordinator.cs",4,"Used","Component_Combat; Provider_Combat; Provider_Combat; Component_Combat"
"TargetLockModule","Assets/NinjaGame/Camera/TargetLockModule.cs",3,"Used","Camera; Component_Controller"
"NPCSpawner","Assets/NinjaGame/Tests/NPCSpawner.cs",3,"Used","Test_Spawner (1); Test_Spawner; Test_Spawner"
"StatsProviderCoordinator","Assets/NinjaGame/Core/Coordinators/StatsProviderCoordinator.cs",3,"Used","Component_Stats; Provider_Stats; Component_Stats"
"IdentitySystem","Assets/NinjaGame/Identity/IdentitySystem.cs",2,"Used","Identity_System; Identity_System"
"UniversalFactionHandler","Assets/NinjaGame/Identity/UniversalFactionHandler.cs",2,"Used","Identity_System; Identity_System"
"UniversalIdentityHandler","Assets/NinjaGame/Identity/UniversalIdentityHandler.cs",2,"Used","Identity_System; Identity_System"
"UniversalSaveHandler","Assets/NinjaGame/Identity/UniversalSaveHandler.cs",2,"Used","Identity_System; Identity_System"
"InputModule","Assets/NinjaGame/Input/InputModule.cs",2,"Used","Component_Input; Component_InputModule"
"ModelModule","Assets/NinjaGame/Models/ModelModule.cs",2,"Used","Identity_System; Identity_System"
"StatSystemTest","Assets/NinjaGame/Tests/StatSystemTest.cs",2,"Used","Player; Player"
"AbilityLoadoutModule","Assets/NinjaGame/Combat/Abilities/AbilityLoadoutModule.cs",2,"Used","Component_Ability; Combat_Abilities"
"AbilityModule","Assets/NinjaGame/Combat/Abilities/AbilityModule.cs",2,"Used","Component_Ability; Combat_Abilities"
"DamageModule","Assets/NinjaGame/Combat/Damage/DamageModule.cs",2,"Used","Component_Damage; Combat_Damage"
"CameraCoordinator","Assets/NinjaGame/Core/Coordinators/CameraCoordinator.cs",2,"Used","Component_Camera; Component_Camera"
"InputProviderCoordinator","Assets/NinjaGame/Core/Coordinators/InputProviderCoordinator.cs",2,"Used","Component_Input; Component_Input"
"InventoryProviderCoordinator","Assets/NinjaGame/Core/Coordinators/InventoryProviderCoordinator.cs",2,"Used","Provider_Inventory; Provider_Inventory"
"InventoryGridController","Assets/NinjaGame/Inventory/Grid/InventoryGridController.cs",2,"Used","InventoryPanel; InventoryPanel"
"ContentButtons","Assets/NinjaGame/Inventory/UI/ContentButtons.cs",2,"Used","ContentButtons; ContentButtons"
"AnimationSystem","Assets/NinjaGame/Animation/AnimationSystem.cs",1,"Used","Animation_System"
"MMOStyleCamera","Assets/NinjaGame/Camera/MMOStyleCamera.cs",1,"Used","Camera"
"FactionManager","Assets/NinjaGame/Factions/FactionManager.cs",1,"Used","FactionsManager"
"NPCContextModule","Assets/NinjaGame/Identity/NPCContextModule.cs",1,"Used","NPC_Context"
"PlayerContextModule","Assets/NinjaGame/Identity/PlayerContextModule.cs",1,"Used","Component_PlayerContext"
"PlayerAbilityInputHandler","Assets/NinjaGame/Input/PlayerAbilityInputHandler.cs",1,"Used","Component_InputModule"
"ARPGLocomotionHandler","Assets/NinjaGame/MovementRefactor/ARPGLocomotionHandler.cs",1,"Used","Movement_System"
"FeetDetectionModule","Assets/NinjaGame/MovementRefactor/FeetDetectionModule.cs",1,"Used","Movement_System"
"MovementSystem","Assets/NinjaGame/MovementRefactor/MovementSystem.cs",1,"Used","Movement_System"
"PlayerControlSource","Assets/NinjaGame/MovementRefactor/PlayerControlSource.cs",1,"Used","Player_Input"
"StatSystem","Assets/NinjaGame/Stats/StatSystem.cs",1,"Used","Stats_System"
"LevelUpTester","Assets/NinjaGame/Tests/LevelUpTester.cs",1,"Used","LevelUp Tester"
"ActiveDefenseModule","Assets/NinjaGame/Combat/Abilities/ActiveDefenseModule.cs",1,"Used","Combat_Defense"
"PlayerItemsModule","Assets/NinjaGame/Inventory/Core/PlayerItemsModule.cs",1,"Used","Component_Inventory"
"GridSlotBackground","Assets/NinjaGame/Inventory/UI/GridSlotBackground.cs",1,"Used","SlotBackground"
"MenuManager","Assets/NinjaGame/Inventory/UI/MenuManager.cs",1,"Used","MenusManager"
"TooltipManager","Assets/NinjaGame/Inventory/UI/TooltipManager.cs",1,"Used","TooltipManager"
"NPCHealthHandler","Assets/NinjaGame/NPC/Core/NPCHealthHandler.cs",1,"Used","Component_NPC"
"NPCModule","Assets/NinjaGame/NPC/Core/NPCModule.cs",1,"Used","Component_NPC"
"NPCNameplate","Assets/NinjaGame/NPC/UI/NPCNameplate.cs",1,"Used","NPCNameplate"
"PlayerInfoPanel","Assets/NinjaGame/Player/UI/PlayerInfoPanel.cs",1,"Used","PlayerInfoPanel"
"TacticalPositioningSystem","Assets/NinjaGame/AI/Combat/Tactical/TacticalPositioningSystem.cs",1,"Used","Component_TacticalPositions"
"NaturalWeaponAnimationEvents","Assets/NinjaGame/Combat/Abilities/NaturalWeapons/NaturalWeaponAnimationEvents.cs",1,"Used","Bear_4"
"NaturalWeaponInitializer","Assets/NinjaGame/Combat/Abilities/NaturalWeapons/NaturalWeaponInitializer.cs",1,"Used","Component_NPC"
"NPCDamageable","Assets/NinjaGame/Combat/Damage/NPC/NPCDamageable.cs",1,"Used","Component_NPC"
"ItemDatabase","Assets/NinjaGame/Inventory/Items/Data/ItemDatabase.cs",1,"Used","ItemManager"
"ItemDatabaseSetup","Assets/NinjaGame/Inventory/Items/Data/ItemDatabaseSetup.cs",1,"Used","ItemManager"
"ItemOverlayVisual","Assets/NinjaGame/Inventory/Items/UI/ItemOverlayVisual.cs",1,"Used","ItemOverlay"
"ItemTooltip","Assets/NinjaGame/Inventory/Items/UI/ItemTooltip.cs",1,"Used","ItemTooltip"
"SimpleThirdPersonCamera","Assets/NinjaGame/Camera/SimpleThirdPersonCamera.cs",0,"Unused","None"
"FactionAffiliationHandler","Assets/NinjaGame/Factions/FactionAffiliationHandler.cs",0,"Unused","None"
"PlayerFactionHandler","Assets/NinjaGame/Factions/PlayerFactionHandler.cs",0,"Unused","None"
"ObjectContextModule","Assets/NinjaGame/Identity/ObjectContextModule.cs",0,"Unused","None"
"ModelDatabase","Assets/NinjaGame/Models/ModelDatabase.cs",0,"Unused","None"
"AiControlSource","Assets/NinjaGame/MovementRefactor/AiControlSource.cs",0,"Unused","None"
"FPSCamera","Assets/NinjaGame/ParkourFPSMovement+Camera/FPSCamera.cs",0,"Unused","None"
"FPSControlSource","Assets/NinjaGame/ParkourFPSMovement+Camera/FPSControlSource.cs",0,"Unused","None"
"ParkourFPSLocomotionHandler","Assets/NinjaGame/ParkourFPSMovement+Camera/ParkourFPSLocomotionHandler.cs",0,"Unused","None"
"ParkourStateController","Assets/NinjaGame/ParkourFPSMovement+Camera/ParkourStateController.cs",0,"Unused","None"
"SaveSystemModule","Assets/NinjaGame/Persistence/SaveSystemModule.cs",0,"Unused","None"
"DamageCalculationConfig","Assets/NinjaGame/Stats/DamageCalculationConfig.cs",0,"Unused","None"
"StatSchema","Assets/NinjaGame/Stats/StatSchema.cs",0,"Unused","None"
"InventoryGridDataTests","Assets/NinjaGame/Tests/InventoryGridDataTests.cs",0,"Unused","None"
"ModelSwapTester","Assets/NinjaGame/Tests/ModelSwapTester.cs",0,"Unused","None"
"AISystem","Assets/NinjaGame/AI/Core/AISystem.cs",0,"Unused","None"
"FateSystem","Assets/NinjaGame/AI/GOAP/FateSystem.cs",0,"Unused","None"
"GOAPAction","Assets/NinjaGame/AI/GOAP/GOAPAction.cs",0,"Unused","None"
"GoapDebugUiController","Assets/NinjaGame/AI/GOAP/GoapDebugUiController.cs",0,"Unused","None"
"GOAPModule","Assets/NinjaGame/AI/GOAP/GOAPModule.cs",0,"Unused","None"
"PathfindingModule","Assets/NinjaGame/AI/GOAP/PathfindingModule.cs",0,"Unused","None"
"PerceptionModule","Assets/NinjaGame/AI/GOAP/PerceptionModule.cs",0,"Unused","None"
"EffectManager","Assets/NinjaGame/Combat/Effects/EffectManager.cs",0,"Unused","None"
"StateMachineModule","Assets/NinjaGame/Core/StateMachine/StateMachineModule.cs",0,"Unused","None"
"StatePermissionMatrix","Assets/NinjaGame/Core/StateMachine/StatePermissionMatrix.cs",0,"Unused","None"
"FactionRelationshipConfig","Assets/NinjaGame/Factions/Data/FactionRelationshipConfig.cs",0,"Unused","None"
"EquipmentSlot","Assets/NinjaGame/Inventory/Core/EquipmentSlot.cs",0,"Unused","None"
"ModelSocketConfig","Assets/NinjaGame/Models/Data/ModelSocketConfig.cs",0,"Unused","None"
"NPCConfigurationHandler","Assets/NinjaGame/NPC/Core/NPCConfigurationHandler.cs",0,"Unused","None"
"NPCArchetype","Assets/NinjaGame/NPC/Data/NPCArchetype.cs",0,"Unused","None"
"IdentityHandler","Assets/NinjaGame/Player/Identity/IdentityHandler.cs",0,"Unused","None"
"PlayerInfoModule","Assets/NinjaGame/Player/Identity/PlayerInfoModule.cs",0,"Unused","None"
"CoreStatsUi","Assets/NinjaGame/Player/UI/CoreStatsUi.cs",0,"Unused","None"
"SecondaryStatsUi","Assets/NinjaGame/Player/UI/SecondaryStatsUi.cs",0,"Unused","None"
"StatAllocationSystem","Assets/NinjaGame/Player/UI/StatAllocationSystem.cs",0,"Unused","None"
"StatAllocationUi","Assets/NinjaGame/Player/UI/StatAllocationUi.cs",0,"Unused","None"
"HumanoidMeleeCombatBehavior","Assets/NinjaGame/AI/GOAP/Goals/HumanoidMeleeCombatBehavior.cs",0,"Unused","None"
"AbilityDefinition","Assets/NinjaGame/Combat/Abilities/Data/AbilityDefinition.cs",0,"Unused","None"
"AbilitySlotData","Assets/NinjaGame/Combat/Abilities/Data/AbilitySlotData.cs",0,"Unused","None"
"DefenseAbilityData","Assets/NinjaGame/Combat/Abilities/Data/DefenseAbilityData.cs",0,"Unused","None"
"NaturalWeaponHitbox","Assets/NinjaGame/Combat/Abilities/NaturalWeapons/NaturalWeaponHitbox.cs",0,"Unused","None"
"WeaponData","Assets/NinjaGame/Combat/Weapons/Data/WeaponData.cs",0,"Unused","None"
"ItemDefinition","Assets/NinjaGame/Inventory/Items/Data/ItemDefinition.cs",0,"Unused","None"
"ItemIconVisual","Assets/NinjaGame/Inventory/Items/UI/ItemIconVisual.cs",0,"Unused","None"
